source,target,category,note
Long Rest,Долгий отдых,gameplay,Термин официальной локализации BG3
Short Rest,Короткий отдых,gameplay,Термин официальной локализации BG3
Saving Throw,испытание,gameplay,"Так в офиц. локализации BG3; «спасбросок» — термин настолки, в игре его нет"
Underdark,Подземье,location,Термин официальной локализации BG3
Waypoint,путевая точка,gameplay,Интерфейсный термин
shrine,святилище,location,Использовать святилище (не храм)
Shadow-Cursed Lands,Оскверненные тенью земли,location,Официальный перевод локации Акта 2
Zealot,ревнитель,creature,"Отличать от Fanatic -> фанатик"
Fanatic,фанатик,creature,"Отличать от Zealot -> ревнитель"
Acolyte,послушник,creature,Термин офиц. локализации BG3
Absolute,Абсолют,faction,"Имя не склоняется: «Слава Абсолют», «армия Абсолют» — как в офиц. локализации"
True Soul,Истинная душа,faction,Ранг в культе Абсолюта
Flaming Fist,Пламенный кулак,faction,Термин офиц. локализации BG3
Wood Woad,древесный вайд,creature,Существо D&D
Will-o'-Wisp,блуждающий огонек,creature,Термин офиц. локализации BG3
Feywild,Царство фей,location,Термин офиц. локализации BG3
Shambling Mound,бродячая насыпь,creature,Существо D&D
Chionthar,Чионтар,location,Река в Забытых Королевствах
Rivington,Ривингтон,location,Термин офиц. локализации BG3
Myrkul,Миркул,deity,Термин офиц. локализации BG3
Silvanus,Сильванус,deity,Термин офиц. локализации BG3
Raven Queen,Королева Воронов,deity,Термин офиц. локализации D&D
Shadar-Kai,шадар-кай,creature,Термин офиц. локализации D&D
Wyrm,Змей,location,"Wyrm's Rock -> Скала Змея, офиц. локализация BG3"
Sentinel,часовой,creature,"Существа мода; Страж веры занято заклинанием Guardian of Faith"
Guardian of Faith,Страж веры,spell,Офиц. название заклинания BG3
Bane,Бейн,deity,Термин офиц. локализации BG3
Lolth,Ллос,deity,Термин офиц. локализации BG3
Ketheric,Кетерик,character,Термин офиц. локализации BG3
Reithwin,Рейтвин,location,Термин офиц. локализации BG3
Trielta Hills,холмы Триэльта,location,Регион Забытых Королевств
Battle Master,Мастер боя,class,Термин офиц. локализации BG3
Mind Flayer,свежеватель разума,creature,Термин офиц. локализации BG3
Dark Urge,Темный соблазн,background,Офиц. название предыстории BG3
Tav,Тав,character,Имя безымянного героя BG3
Eladrin,эладрин,creature,Термин офиц. локализации D&D
Meenlock,минлок,creature,Существо D&D
Armour Class,класс брони,gameplay,"Термин офиц. локализации BG3; со строчной внутри LSTag, не «класс доспеха»"
hit points,ОЗ,gameplay,"Термин офиц. локализации BG3; сокращение не склоняется, не «хиты»"
temporary hit points,временные ОЗ,gameplay,Термин офиц. локализации BG3
Virtuous Greaves,Поножи добродетели,item,Название предмета мода
